x,y,r,g,b
0,0,254,254,254
1,0,254,254,254
2,0,254,254,254
3,0,254,254,254
4,0,254,254,254
5,0,254,254,254
6,0,254,254,254
7,0,254,254,254
8,0,254,254,254
9,0,254,254,254
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,254,254,254
25,0,254,254,254
26,0,254,254,254
27,0,254,254,254
28,0,254,254,254
29,0,254,254,254
30,0,254,254,254
31,0,254,254,254
0,1,254,254,254
1,1,254,254,254
2,1,254,254,254
3,1,254,254,254
4,1,254,254,254
5,1,254,254,254
6,1,254,254,254
7,1,254,254,254
8,1,254,254,254
9,1,254,254,254
10,1,0,0,0
11,1,0,0,0
12,1,0,0,0
13,1,0,0,0
14,1,0,0,0
15,1,0,0,0
16,1,0,0,0
17,1,0,0,0
18,1,0,0,0
19,1,0,0,0
20,1,0,0,0
21,1,0,0,0
22,1,0,0,0
23,1,0,0,0
24,1,254,254,254
25,1,254,254,254
26,1,254,254,254
27,1,254,254,254
28,1,254,254,254
29,1,254,254,254
30,1,254,254,254
31,1,254,254,254
0,2,254,254,254
1,2,254,254,254
2,2,254,254,254
3,2,254,254,254
4,2,254,254,254
5,2,254,254,254
6,2,0,0,0
7,2,0,0,0
8,2,0,0,0
9,2,0,0,0
10,2,0,0,0
11,2,0,0,0
12,2,254,254,254
13,2,254,254,254
14,2,254,254,254
15,2,254,254,254
16,2,254,254,254
17,2,254,254,254
18,2,252,0,0
19,2,252,0,0
20,2,252,0,0
21,2,252,0,0
22,2,0,0,0
23,2,0,0,0
24,2,0,0,0
25,2,0,0,0
26,2,254,254,254
27,2,254,254,254
28,2,254,254,254
29,2,254,254,254
30,2,254,254,254
31,2,254,254,254
0,3,254,254,254
1,3,254,254,254
2,3,254,254,254
3,3,254,254,254
4,3,254,254,254
5,3,254,254,254
6,3,0,0,0
7,3,0,0,0
8,3,0,0,0
9,3,0,0,0
10,3,0,0,0
11,3,0,0,0
12,3,254,254,254
13,3,254,254,254
14,3,254,254,254
15,3,254,254,254
16,3,254,254,254
17,3,254,254,254
18,3,252,0,0
19,3,252,0,0
20,3,252,0,0
21,3,252,0,0
22,3,0,0,0
23,3,0,0,0
24,3,0,0,0
25,3,0,0,0
26,3,254,254,254
27,3,254,254,254
28,3,254,254,254
29,3,254,254,254
30,3,254,254,254
31,3,254,254,254
0,4,254,254,254
1,4,254,254,254
2,4,254,254,254
3,4,254,254,254
4,4,0,0,0
5,4,0,0,0
6,4,0,0,0
7,4,0,0,0
8,4,254,254,254
9,4,254,254,254
10,4,254,254,254
11,4,254,254,254
12,4,254,254,254
13,4,254,254,254
14,4,254,254,254
15,4,254,254,254
16,4,254,254,254
17,4,254,254,254
18,4,252,0,0
19,4,252,0,0
20,4,252,0,0
21,4,252,0,0
22,4,0,0,0
23,4,0,0,0
24,4,0,0,0
25,4,0,0,0
26,4,0,0,0
27,4,0,0,0
28,4,0,0,0
29,4,0,0,0
30,4,254,254,254
31,4,254,254,254
0,5,254,254,254
1,5,254,254,254
2,5,254,254,254
3,5,254,254,254
4,5,0,0,0
5,5,0,0,0
6,5,0,0,0
7,5,0,0,0
8,5,254,254,254
9,5,254,254,254
10,5,254,254,254
11,5,254,254,254
12,5,254,254,254
13,5,254,254,254
14,5,254,254,254
15,5,254,254,254
16,5,254,254,254
17,5,254,254,254
18,5,252,0,0
19,5,252,0,0
20,5,252,0,0
21,5,252,0,0
22,5,0,0,0
23,5,0,0,0
24,5,0,0,0
25,5,0,0,0
26,5,0,0,0
27,5,0,0,0
28,5,0,0,0
29,5,0,0,0
30,5,254,254,254
31,5,254,254,254
0,6,254,254,254
1,6,254,254,254
2,6,0,0,0
3,6,0,0,0
4,6,0,0,0
5,6,0,0,0
6,6,252,0,0
7,6,252,0,0
8,6,252,0,0
9,6,252,0,0
10,6,254,254,254
11,6,254,254,254
12,6,254,254,254
13,6,254,254,254
14,6,254,254,254
15,6,254,254,254
16,6,252,0,0
17,6,252,0,0
18,6,252,0,0
19,6,252,0,0
20,6,0,0,0
21,6,0,0,0
22,6,0,0,0
23,6,0,0,0
24,6,252,252,252
25,6,252,252,252
26,6,254,254,254
27,6,254,254,254
28,6,0,0,0
29,6,0,0,0
30,6,0,0,0
31,6,0,0,0
0,7,254,254,254
1,7,254,254,254
2,7,0,0,0
3,7,0,0,0
4,7,0,0,0
5,7,0,0,0
6,7,252,0,0
7,7,252,0,0
8,7,252,0,0
9,7,252,0,0
10,7,252,252,252
11,7,254,254,254
12,7,254,254,254
13,7,254,254,254
14,7,254,254,254
15,7,254,254,254
16,7,252,0,0
17,7,252,0,0
18,7,252,0,0
19,7,252,0,0
20,7,0,0,0
21,7,0,0,0
22,7,0,0,0
23,7,0,0,0
24,7,254,254,254
25,7,254,254,254
26,7,254,254,254
27,7,254,254,254
28,7,0,0,0
29,7,0,0,0
30,7,0,0,0
31,7,0,0,0
0,8,254,254,254
1,8,254,254,254
2,8,0,0,0
3,8,0,0,0
4,8,254,254,254
5,8,254,254,254
6,8,254,254,254
7,8,254,254,254
8,8,252,0,0
9,8,252,0,0
10,8,252,0,0
11,8,252,0,0
12,8,252,0,0
13,8,252,0,0
14,8,252,0,0
15,8,252,0,0
16,8,252,0,0
17,8,252,0,0
18,8,252,0,0
19,8,252,0,0
20,8,0,0,0
21,8,0,0,0
22,8,254,254,254
23,8,254,254,254
24,8,254,254,254
25,8,254,254,254
26,8,254,254,254
27,8,254,254,254
28,8,254,254,254
29,8,254,254,254
30,8,0,0,0
31,8,0,0,0
0,9,254,254,254
1,9,254,254,254
2,9,0,0,0
3,9,0,0,0
4,9,254,254,254
5,9,254,254,254
6,9,254,254,254
7,9,254,254,254
8,9,252,0,0
9,9,252,0,0
10,9,252,0,0
11,9,252,0,0
12,9,252,0,0
13,9,252,0,0
14,9,252,0,0
15,9,252,0,0
16,9,252,0,0
17,9,252,0,0
18,9,252,0,0
19,9,252,0,0
20,9,0,0,0
21,9,0,0,0
22,9,254,254,254
23,9,254,254,254
24,9,254,254,254
25,9,254,254,254
26,9,254,254,254
27,9,254,254,254
28,9,254,254,254
29,9,254,254,254
30,9,0,0,0
31,9,0,0,0
0,10,0,0,0
1,10,0,0,0
2,10,0,0,0
3,10,0,0,0
4,10,254,254,254
5,10,254,254,254
6,10,254,254,254
7,10,254,254,254
8,10,252,0,0
9,10,252,0,0
10,10,252,0,0
11,10,252,0,0
12,10,254,254,254
13,10,254,254,254
14,10,254,254,254
15,10,254,254,254
16,10,254,254,254
17,10,254,254,254
18,10,252,0,0
19,10,252,0,0
20,10,0,0,0
21,10,0,0,0
22,10,254,254,254
23,10,254,254,254
24,10,254,254,254
25,10,254,254,254
26,10,254,254,254
27,10,254,254,254
28,10,254,254,254
29,10,254,254,254
30,10,0,0,0
31,10,0,0,0
0,11,0,0,0
1,11,0,0,0
2,11,0,0,0
3,11,0,0,0
4,11,254,254,254
5,11,254,254,254
6,11,254,254,254
7,11,254,254,254
8,11,252,0,0
9,11,252,0,0
10,11,252,0,0
11,11,252,0,0
12,11,254,254,254
13,11,254,254,254
14,11,254,254,254
15,11,254,254,254
16,11,254,254,254
17,11,254,254,254
18,11,252,0,0
19,11,252,0,0
20,11,0,0,0
21,11,0,0,0
22,11,254,254,254
23,11,254,254,254
24,11,254,254,254
25,11,254,254,254
26,11,254,254,254
27,11,254,254,254
28,11,254,254,254
29,11,254,254,254
30,11,0,0,0
31,11,0,0,0
0,12,0,0,0
1,12,0,0,0
2,12,254,254,254
3,12,254,254,254
4,12,254,254,254
5,12,254,254,254
6,12,252,0,0
7,12,252,0,0
8,12,252,0,0
9,12,252,0,0
10,12,254,254,254
11,12,254,254,254
12,12,254,254,254
13,12,254,254,254
14,12,254,254,254
15,12,254,254,254
16,12,254,254,254
17,12,254,254,254
18,12,254,254,254
19,12,254,254,254
20,12,0,0,0
21,12,0,0,0
22,12,0,0,0
23,12,0,0,0
24,12,0,0,0
25,12,0,0,0
26,12,254,254,254
27,12,254,254,254
28,12,254,254,254
29,12,254,254,254
30,12,0,0,0
31,12,0,0,0
0,13,0,0,0
1,13,0,0,0
2,13,254,254,254
3,13,254,254,254
4,13,254,254,254
5,13,254,254,254
6,13,252,0,0
7,13,252,0,0
8,13,252,0,0
9,13,252,0,0
10,13,254,254,254
11,13,254,254,254
12,13,254,254,254
13,13,254,254,254
14,13,254,254,254
15,13,254,254,254
16,13,254,254,254
17,13,254,254,254
18,13,254,254,254
19,13,254,254,254
20,13,0,0,0
21,13,0,0,0
22,13,0,0,0
23,13,0,0,0
24,13,0,0,0
25,13,0,0,0
26,13,254,254,254
27,13,254,254,254
28,13,254,254,254
29,13,254,254,254
30,13,0,0,0
31,13,0,0,0
0,14,0,0,0
1,14,0,0,0
2,14,252,0,0
3,14,252,0,0
4,14,252,0,0
5,14,252,0,0
6,14,252,0,0
7,14,252,0,0
8,14,252,0,0
9,14,252,0,0
10,14,254,254,254
11,14,254,254,254
12,14,254,254,254
13,14,254,254,254
14,14,254,254,254
15,14,254,254,254
16,14,254,254,254
17,14,254,254,254
18,14,254,254,254
19,14,254,254,254
20,14,0,0,0
21,14,0,0,0
22,14,254,254,254
23,14,254,254,254
24,14,254,254,254
25,14,254,254,254
26,14,254,254,254
27,14,254,254,254
28,14,254,254,254
29,14,254,254,254
30,14,0,0,0
31,14,0,0,0
0,15,0,0,0
1,15,0,0,0
2,15,252,0,0
3,15,252,0,0
4,15,252,0,0
5,15,252,0,0
6,15,252,0,0
7,15,252,0,0
8,15,252,0,0
9,15,252,0,0
10,15,254,254,254
11,15,254,254,254
12,15,254,254,254
13,15,254,254,254
14,15,254,254,254
15,15,254,254,254
16,15,254,254,254
17,15,254,254,254
18,15,254,254,254
19,15,254,254,254
20,15,0,0,0
21,15,0,0,0
22,15,254,254,254
23,15,254,254,254
24,15,254,254,254
25,15,254,254,254
26,15,254,254,254
27,15,254,254,254
28,15,254,254,254
29,15,254,254,254
30,15,0,0,0
31,15,0,0,0
0,16,0,0,0
1,16,0,0,0
2,16,252,0,0
3,16,252,0,0
4,16,252,0,0
5,16,252,0,0
6,16,252,0,0
7,16,252,0,0
8,16,252,0,0
9,16,252,0,0
10,16,254,254,254
11,16,254,254,254
12,16,254,254,254
13,16,254,254,254
14,16,254,254,254
15,16,254,254,254
16,16,254,254,254
17,16,254,254,254
18,16,254,254,254
19,16,254,254,254
20,16,0,0,0
21,16,0,0,0
22,16,254,254,254
23,16,254,254,254
24,16,254,254,254
25,16,254,254,254
26,16,254,254,254
27,16,254,254,254
28,16,254,254,254
29,16,254,254,254
30,16,0,0,0
31,16,0,0,0
0,17,0,0,0
1,17,0,0,0
2,17,252,0,0
3,17,252,0,0
4,17,252,0,0
5,17,252,0,0
6,17,252,0,0
7,17,252,0,0
8,17,252,0,0
9,17,252,0,0
10,17,254,254,254
11,17,254,254,254
12,17,254,254,254
13,17,254,254,254
14,17,254,254,254
15,17,254,254,254
16,17,254,254,254
17,17,254,254,254
18,17,254,254,254
19,17,254,254,254
20,17,0,0,0
21,17,0,0,0
22,17,254,254,254
23,17,254,254,254
24,17,254,254,254
25,17,254,254,254
26,17,254,254,254
27,17,254,254,254
28,17,254,254,254
29,17,254,254,254
30,17,0,0,0
31,17,0,0,0
0,18,0,0,0
1,18,0,0,0
2,18,254,254,254
3,18,254,254,254
4,18,254,254,254
5,18,254,254,254
6,18,252,0,0
7,18,252,0,0
8,18,252,0,0
9,18,252,0,0
10,18,254,254,254
11,18,254,254,254
12,18,254,254,254
13,18,254,254,254
14,18,254,254,254
15,18,254,254,254
16,18,254,254,254
17,18,254,254,254
18,18,254,254,254
19,18,254,254,254
20,18,0,0,0
21,18,0,0,0
22,18,0,0,0
23,18,0,0,0
24,18,0,0,0
25,18,0,0,0
26,18,254,254,254
27,18,254,254,254
28,18,254,254,254
29,18,254,254,254
30,18,0,0,0
31,18,0,0,0
0,19,0,0,0
1,19,0,0,0
2,19,254,254,254
3,19,254,254,254
4,19,254,254,254
5,19,254,254,254
6,19,252,0,0
7,19,252,0,0
8,19,252,0,0
9,19,252,0,0
10,19,254,254,254
11,19,254,254,254
12,19,254,254,254
13,19,254,254,254
14,19,254,254,254
15,19,254,254,254
16,19,254,254,254
17,19,254,254,254
18,19,254,254,254
19,19,254,254,254
20,19,0,0,0
21,19,0,0,0
22,19,0,0,0
23,19,0,0,0
24,19,0,0,0
25,19,0,0,0
26,19,254,254,254
27,19,254,254,254
28,19,254,254,254
29,19,254,254,254
30,19,0,0,0
31,19,0,0,0
0,20,0,0,0
1,20,0,0,0
2,20,0,0,0
3,20,0,0,0
4,20,254,254,254
5,20,254,254,254
6,20,254,254,254
7,20,254,254,254
8,20,252,0,0
9,20,252,0,0
10,20,252,0,0
11,20,252,0,0
12,20,254,254,254
13,20,254,254,254
14,20,254,254,254
15,20,254,254,254
16,20,254,254,254
17,20,254,254,254
18,20,252,0,0
19,20,252,0,0
20,20,0,0,0
21,20,0,0,0
22,20,254,254,254
23,20,254,254,254
24,20,254,254,254
25,20,254,254,254
26,20,254,254,254
27,20,254,254,254
28,20,254,254,254
29,20,254,254,254
30,20,0,0,0
31,20,0,0,0
0,21,0,0,0
1,21,0,0,0
2,21,0,0,0
3,21,0,0,0
4,21,254,254,254
5,21,254,254,254
6,21,254,254,254
7,21,254,254,254
8,21,252,0,0
9,21,252,0,0
10,21,252,0,0
11,21,252,0,0
12,21,254,254,254
13,21,254,254,254
14,21,254,254,254
15,21,254,254,254
16,21,254,254,254
17,21,254,254,254
18,21,252,0,0
19,21,252,0,0
20,21,0,0,0
21,21,0,0,0
22,21,254,254,254
23,21,254,254,254
24,21,254,254,254
25,21,254,254,254
26,21,254,254,254
27,21,254,254,254
28,21,254,254,254
29,21,254,254,254
30,21,0,0,0
31,21,0,0,0
0,22,254,254,254
1,22,254,254,254
2,22,0,0,0
3,22,0,0,0
4,22,254,254,254
5,22,254,254,254
6,22,254,254,254
7,22,254,254,254
8,22,252,0,0
9,22,252,0,0
10,22,252,0,0
11,22,252,0,0
12,22,252,0,0
13,22,252,0,0
14,22,252,0,0
15,22,252,0,0
16,22,252,0,0
17,22,252,0,0
18,22,252,0,0
19,22,252,0,0
20,22,0,0,0
21,22,0,0,0
22,22,254,254,254
23,22,254,254,254
24,22,254,254,254
25,22,254,254,254
26,22,254,254,254
27,22,254,254,254
28,22,254,254,254
29,22,254,254,254
30,22,0,0,0
31,22,0,0,0
0,23,254,254,254
1,23,254,254,254
2,23,0,0,0
3,23,0,0,0
4,23,254,254,254
5,23,254,254,254
6,23,254,254,254
7,23,254,254,254
8,23,252,0,0
9,23,252,0,0
10,23,252,0,0
11,23,252,0,0
12,23,252,0,0
13,23,252,0,0
14,23,252,0,0
15,23,252,0,0
16,23,252,0,0
17,23,252,0,0
18,23,252,0,0
19,23,252,0,0
20,23,0,0,0
21,23,0,0,0
22,23,254,254,254
23,23,254,254,254
24,23,254,254,254
25,23,254,254,254
26,23,254,254,254
27,23,254,254,254
28,23,254,254,254
29,23,254,254,254
30,23,0,0,0
31,23,0,0,0
0,24,254,254,254
1,24,254,254,254
2,24,0,0,0
3,24,0,0,0
4,24,0,0,0
5,24,0,0,0
6,24,252,0,0
7,24,252,0,0
8,24,252,0,0
9,24,252,0,0
10,24,254,254,254
11,24,254,254,254
12,24,254,254,254
13,24,254,254,254
14,24,254,254,254
15,24,254,254,254
16,24,252,0,0
17,24,252,0,0
18,24,252,0,0
19,24,252,0,0
20,24,0,0,0
21,24,0,0,0
22,24,0,0,0
23,24,0,0,0
24,24,254,254,254
25,24,254,254,254
26,24,254,254,254
27,24,254,254,254
28,24,0,0,0
29,24,0,0,0
30,24,0,0,0
31,24,0,0,0
0,25,254,254,254
